,name,min_salary,max_salary,currency,link,website
0,Комплектовщик/комплектовщица интернет-заказов Ozon,,71225,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
1,Грузчик / Разнорабочий,,70000,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
2,Разнорабочий,87500,,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
3,Разнорабочий,80000,,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
4,Грузчик-разнорабочий,95000,,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
5,Разнорабочий,,75000,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
6,Разнорабочий в аэропорт,57000,,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
7,Разнорабочий,60000,,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
8,Разнорабочий на склад (розлив натуральных эссенций),,50000,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
9,Разнорабочий,,80000,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
10,Разнорабочий,60000,,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
11,Разнорабочий в офис,,75000,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
12,Грузчик-разнорабочий,,37000,руб,https://hh.ru/vacancy/54413936?query=%D1%80%D0%B0%D0%B7%D0%BD%D0%BE%D1%80%D0%B0%D0%B1%D0%BE%D1%87%D0%B8%D0%B9,https://hh.ru
